
=== RT595 LiSenNet streaming SE (M33 / TFLite-Micro) ===
SE model: 2 IO, 1 states; arena used 17096 / 524288 B
core 198 MHz; 16 test frames of 257-bin features
frame, cycles, us, mask_checksum
0, 5328934, 26913, 202378
1, 5324004, 26888, 240195
2, 5320408, 26870, 245601
3, 5320244, 26869, 246605
4, 5319838, 26867, 247156
5, 5320034, 26868, 247152
6, 5320053, 26868, 246046
7, 5319199, 26864, 245410
8, 5317591, 26856, 241804
9, 5316875, 26852, 240230
10, 5316272, 26849, 240753
11, 5316497, 26850, 241726
12, 5316972, 26853, 244238
13, 5316302, 26850, 246238
14, 5316711, 26852, 248171
15, 5316635, 26851, 250472
done. RTF target: cycles/frame < 3168000 for real-time at 16 ms hop
