pass,cell,status,load_s,run_s,total_s,started
1,blockdiag_full__n6-noextmem,OK,12,209,209,2026-09-17T15:05:45+02:00
1,n6net_b3__n6-noextmem-ec,OK,7,205,205,2026-09-17T15:09:29+02:00
1,n6net_v2_c96__n6-noextmem-ec,OK,11,208,208,2026-09-17T15:13:09+02:00
1,convfsenet__n6-noextmem,OK,12,209,209,2026-09-17T15:16:52+02:00
1,n6net_b1__n6-noextmem-ec,OK,6,203,203,2026-09-17T15:20:36+02:00
1,n6net_v2__n6-noextmem-ec,OK,18,215,215,2026-09-17T15:24:14+02:00
1,monarch_20__n6-noextmem,OK,7,205,205,2026-09-17T15:28:04+02:00
1,lisennet_stream__n6-noextmem,OK,7,204,204,2026-09-17T15:31:44+02:00
1,n6net_b3__n6-noextmem,LOAD_FAILED,32,153,,2026-09-17T15:35:23+02:00
1,n6net_b3__n6-noextmem,OK,8,205,205,2026-09-17T19:07:28+02:00
2,n6net_b3__n6-noextmem,OK,7,205,205,2026-09-17T19:11:08+02:00
2,lisennet_stream__n6-noextmem,OK,7,204,204,2026-09-17T19:14:48+02:00
2,monarch_20__n6-noextmem,OK,7,204,204,2026-09-17T19:18:28+02:00
2,n6net_v2__n6-noextmem-ec,OK,18,215,215,2026-09-17T19:22:07+02:00
2,n6net_b1__n6-noextmem-ec,OK,6,203,203,2026-09-17T19:25:57+02:00
2,convfsenet__n6-noextmem,OK,12,209,209,2026-09-17T19:29:35+02:00
2,n6net_v2_c96__n6-noextmem-ec,OK,11,209,209,2026-09-17T19:33:19+02:00
2,n6net_b3__n6-noextmem-ec,OK,7,204,204,2026-09-17T19:37:03+02:00
2,blockdiag_full__n6-noextmem,OK,11,209,209,2026-09-17T19:40:42+02:00
1,n6net_v2_fullband_rw__n6-noextmem-ec,OK,13,210,210,2026-09-17T20:13:31+02:00
1,n6net_v2_fullband_native__n6-noextmem-ec,OK,12,209,209,2026-09-17T20:17:16+02:00
2,n6net_v2_fullband_native__n6-noextmem-ec,OK,12,209,209,2026-09-17T20:21:00+02:00
2,n6net_v2_fullband_rw__n6-noextmem-ec,OK,12,209,209,2026-09-17T20:24:44+02:00
