n gru grulo gruhi nc24 nc24lo nc24hi deep deeplo deephi
0 5.314137e-01 5.314137e-01 1.311887e+00 6.018456e-01 6.018456e-01 1.229501e+00 4.687450e-01 4.687450e-01 1.223587e+00
2 4.520178e-01 4.520178e-01 8.672333e-01 5.227340e-01 5.227340e-01 6.331978e-01 3.483954e-01 3.483954e-01 5.988319e-01
4 3.254562e-01 3.254562e-01 7.722642e-01 3.466306e-01 3.466306e-01 7.080479e-01 2.574586e-01 2.574586e-01 5.078664e-01
6 3.223006e-01 3.223006e-01 5.369294e-01 2.885863e-01 2.885863e-01 6.553667e-01 2.407453e-01 2.407453e-01 5.187091e-01
8 1.939548e-01 1.939548e-01 3.318620e-01 2.688061e-01 2.688061e-01 5.585528e-01 2.597959e-01 2.597959e-01 3.589664e-01
10 1.893563e-01 1.893563e-01 3.653459e-01 3.058132e-01 2.801361e-01 4.225694e-01 2.358956e-01 2.358956e-01 3.216908e-01
12 2.129944e-01 2.129944e-01 4.008943e-01 2.995610e-01 2.246211e-01 2.995610e-01 2.562569e-01 1.793105e-01 2.587762e-01
14 1.835378e-01 1.835378e-01 3.405534e-01 2.215189e-01 2.215189e-01 2.807703e-01 1.785736e-01 1.624345e-01 3.264282e-01
16 2.514995e-01 2.206880e-01 3.155086e-01 2.147887e-01 2.147887e-01 2.617798e-01 2.767403e-01 1.679860e-01 2.767403e-01
18 1.204034e-01 1.204034e-01 3.022271e-01 1.578243e-01 1.578243e-01 1.960911e-01 1.889426e-01 1.384296e-01 2.462637e-01
20 2.079984e-01 2.052220e-01 2.963386e-01 2.125220e-01 2.125220e-01 2.486119e-01 2.357257e-01 1.697395e-01 2.534804e-01
22 1.685493e-01 1.562004e-01 2.802231e-01 1.687817e-01 1.374057e-01 1.994637e-01 1.739541e-01 1.600516e-01 2.286592e-01
24 1.906234e-01 1.585933e-01 2.212484e-01 1.382409e-01 1.382409e-01 1.911104e-01 1.740791e-01 1.647263e-01 2.301179e-01
